James	M	47083	1972
David	M	46366	1972
John	M	43181	1972
Robert	M	43037	1972
Jason	M	37446	1972
Brian	M	36322	1972
William	M	30529	1972
Matthew	M	22943	1972
Jennifer	F	62447	1973
Amy	F	26964	1973
Michelle	F	26934	1973
Kimberly	F	23533	1973
Lisa	F	22669	1973
Melissa	F	22480	1973
Angela	F	20896	1973
Heather	F	19349	1973
Stephanie	F	17263	1973
Rebecca	F	14870	1973
Michael	M	67847	1973
Christopher	M	48321	1973
Jason	M	46683	1973
James	M	42889	1973
David	M	41102	1973
John	M	39176	1973
Robert	M	38701	1973
Brian	M	35715	1973
William	M	28021	1973
Matthew	M	24546	1973
Jennifer	F	63114	1974
Amy	F	29565	1974
Michelle	F	25828	1974
Heather	F	23181	1974
Angela	F	22802	1974
Kimberly	F	22419	1974
Melissa	F	22166	1974
Lisa	F	19774	1974
Stephanie	F	16983	1974
Rebecca	F	15167	1974
Michael	M	67578	1974
Jason	M	54776	1974
Christopher	M	48603	1974
David	M	41815	1974
James	M	41354	1974
John	M	37638	1974
Robert	M	37031	1974
Brian	M	34460	1974
Matthew	M	27224	1974
William	M	26990	1974
Jennifer	F	58183	1975
Amy	F	32251	1975
Heather	F	24299	1975
Melissa	F	24165	1975
Angela	F	23360	1975
Michelle	F	22665	1975
Kimberly	F	20263	1975
Lisa	F	18134	1975
Stephanie	F	15774	1975
Nicole	F	14276	1975
Michael	M	68454	1975
Jason	M	52186	1975
Christopher	M	46592	1975
James	M	39591	1975
David	M	39177	1975
Robert	M	35335	1975
John	M	35097	1975
Brian	M	30608	1975
Matthew	M	28550	1975
William	M	25572	1975
Jennifer	F	59474	1976
Amy	F	31341	1976
Melissa	F	25095	1976
Heather	F	24198	1976
Angela	F	22042	1976
Michelle	F	19555	1976
Kimberly	F	18966	1976
Jessica	F	18370	1976
Lisa	F	17351	1976
Amanda	F	15590	1976
Michael	M	66954	1976
Jason	M	52680	1976
Christopher	M	45210	1976
David	M	39294	1976
James	M	38309	1976
John	M	34006	1976
Robert	M	33810	1976
Brian	M	30532	1976
Matthew	M	29981	1976
